objectID,title,artist,department,objectDate,medium,image_path
753909,"Who says, Parisians are never satisfied!, from 'Theater sketches,' published in Le Charivari, February 13, 1864",Honoré Daumier,Drawings and Prints,"February 13, 1864",Lithograph on newsprint; second state of two (Delteil),data\raw\images\753909.jpg
436653,Woodland Road,Meyndert Hobbema,European Paintings,ca. 1670,Oil on canvas,data\raw\images\436653.jpg
437609,The Holy Family with the Young Saint John the Baptist,Andrea del Sarto (Andrea d'Agnolo),European Paintings,ca. 1528,Oil on wood,data\raw\images\437609.jpg
548585,Osiride Figure of Kenamun,,Egyptian Art,ca. 1427–1400 B.C.,"Wood, paint",data\raw\images\548585.jpg
591138,Head of a lion,,Egyptian Art,400–300 B.C.,Gypsum plaster,data\raw\images\591138.jpg
449311,Seal Stone,,Islamic Art,10th–11th century,Lapis lazuli,data\raw\images\449311.jpg
437422,Charity,Guido Reni,European Paintings,ca. 1630,Oil on canvas,data\raw\images\437422.jpg
206965,Longcase astronomical regulator,Ferdinand Berthoud,European Sculpture and Decorative Arts,ca. 1768–70,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",data\raw\images\206965.jpg
207247,Shoulao,Chantilly,European Sculpture and Decorative Arts,ca. 1735–40,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,data\raw\images\207247.jpg
248166,Terracotta statuette of a standing woman,,Greek and Roman Art,late 4th–early 3rd century BCE,Terracotta,data\raw\images\248166.jpg
317877,Processional Cross,Northern Highlands artist,The Michael C. Rockefeller Wing,14th–15th century,Brass,data\raw\images\317877.jpg
196378,"Louis Nicolas Victor de Félix, Comte du Muy and Marshal of France (1711–1775)",Jean Jacques Caffiéri,European Sculpture and Decorative Arts,1776,Marble,data\raw\images\196378.jpg
544320,Stela of the Steward Mentuwoser,,Egyptian Art,ca. 1944 B.C.,"Limestone, paint",data\raw\images\544320.jpg
42743,Armchair,,Asian Art,17th century,Purple sandalwood (zitan),data\raw\images\42743.jpg
467608,Panagiarion with the Virgin and Child and the Three Angels at Mamre (interior) and the Crucifixion and Three Church Fathers (exterior),,Medieval Art,ca. 1500 or later,"Wood, stained, silver-gilt, pearls and garnet",data\raw\images\467608.jpg
549245,"Shabti of Paser, the Vizier of Seti I and Ramesses II",Paser,Egyptian Art,ca. 1294–1213 B.C.,Faience,data\raw\images\549245.jpg
625917,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625917.jpg
587039,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\587039.jpg
587036,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\587036.jpg
587040,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\587040.jpg
587037,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\587037.jpg
587034,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\587034.jpg
625707,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625707.jpg
625757,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625757.jpg
625726,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625726.jpg
625708,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625708.jpg
625709,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625709.jpg
625719,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625719.jpg
625721,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625721.jpg
625722,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625722.jpg
625717,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625717.jpg
625758,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625758.jpg
625715,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625715.jpg
